CPU:0 [LOST 44585 EVENTS]
 0)   0.173 us    |                        __tlb_remove_page_size();
 0)   0.167 us    |                        _vm_normal_page();
 0)   0.170 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.168 us    |                          lock_page_memcg();
 0)   0.168 us    |                          PageHuge();
 0)   0.169 us    |                          unlock_page_memcg();
 0)   1.167 us    |                        }
 0)   0.169 us    |                        __tlb_remove_page_size();
 0)   0.170 us    |                        _vm_normal_page();
 0)   0.169 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.170 us    |                          lock_page_memcg();
 0)   0.168 us    |                          PageHuge();
 0)   0.168 us    |                          unlock_page_memcg();
 0)   1.154 us    |                        }
 0)   0.169 us    |                        __tlb_remove_page_size();
 0)   0.170 us    |                        _vm_normal_page();
 0)   0.168 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.169 us    |                          lock_page_memcg();
 0)   0.169 us    |                          PageHuge();
 0)   0.168 us    |                          unlock_page_memcg();
 0)   1.155 us    |                        }
 0)   0.169 us    |                        __tlb_remove_page_size();
 0)   0.169 us    |                        _vm_normal_page();
 0)   0.170 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.170 us    |                          lock_page_memcg();
 0)   0.168 us    |                          PageHuge();
 0)   0.168 us    |                          unlock_page_memcg();
 0)   1.155 us    |                        }
 0)   0.169 us    |                        __tlb_remove_page_size();
 0)   0.171 us    |                        _vm_normal_page();
 0)   0.169 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.168 us    |                          lock_page_memcg();
 0)   0.168 us    |                          PageHuge();
 0)   0.169 us    |                          unlock_page_memcg();
 0)   1.154 us    |                        }
 0)   0.169 us    |                        __tlb_remove_page_size();
 0)   0.169 us    |                        _vm_normal_page();
 0)   0.171 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.169 us    |                          lock_page_memcg();
 0)   0.166 us    |                          PageHuge();
 0)   0.168 us    |                          unlock_page_memcg();
 0)   1.151 us    |                        }
 0)   0.168 us    |                        __tlb_remove_page_size();
 0)   0.171 us    |                        _vm_normal_page();
 0)   0.169 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.166 us    |                          lock_page_memcg();
 0)   0.165 us    |                          PageHuge();
 0)   0.165 us    |                          unlock_page_memcg();
 0)   1.162 us    |                        }
 0)   0.166 us    |                        __tlb_remove_page_size();
 0)   0.169 us    |                        _vm_normal_page();
 0)   0.168 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.168 us    |                          lock_page_memcg();
 0)   0.165 us    |                          PageHuge();
 0)   0.167 us    |                          unlock_page_memcg();
 0)   1.139 us    |                        }
 0)   0.167 us    |                        __tlb_remove_page_size();
 0)   0.167 us    |                        _vm_normal_page();
 0)   0.168 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.167 us    |                          lock_page_memcg();
 0)   0.165 us    |                          PageHuge();
 0)   0.166 us    |                          unlock_page_memcg();
 0)   1.138 us    |                        }
 0)   0.167 us    |                        __tlb_remove_page_size();
 0)   0.168 us    |                        _vm_normal_page();
 0)   0.168 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.168 us    |                          lock_page_memcg();
 0)   0.166 us    |                          PageHuge();
 0)   0.165 us    |                          unlock_page_memcg();
 0)   1.139 us    |                        }
 0)   0.166 us    |                        __tlb_remove_page_size();
 0)   0.168 us    |                        _vm_normal_page();
 0)   0.167 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.165 us    |                          lock_page_memcg();
 0)   0.165 us    |                          PageHuge();
 0)   0.166 us    |                          unlock_page_memcg();
 0)   1.138 us    |                        }
 0)   0.165 us    |                        __tlb_remove_page_size();
 0)   0.167 us    |                        _vm_normal_page();
 0)   0.168 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.167 us    |                          lock_page_memcg();
 0)   0.165 us    |                          PageHuge();
 0)   0.165 us    |                          unlock_page_memcg();
 0)   1.154 us    |                        }
 0)   0.167 us    |                        __tlb_remove_page_size();
 0)   0.168 us    |                        _vm_normal_page();
 0)   0.168 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.167 us    |                          lock_page_memcg();
 0)   0.164 us    |                          PageHuge();
 0)   0.167 us    |                          unlock_page_memcg();
 0)   1.141 us    |                        }
 0)   0.167 us    |                        __tlb_remove_page_size();
 0)   0.168 us    |                        _vm_normal_page();
 0)   0.166 us    |                        mark_page_accessed();
 0)               |                        page_remove_rmap() {
 0)   0.166 us    |                          lock_page_memcg();
 0)   0.167 us    |                          PageHuge();
